title,genre,status,table,year,premiere_month,premiere_year,seasons_count,episodes_count,length_low,length_hi
Ainori Love Wagon: African Journey,reality television,Renewed,13,2019,9.0,2019,1,7.0,25,28
Arrested Development (seasons 4–5),comedy,Ended,14,2013,5.0,2013,2,38.0,22,23
Star Wars: The Clone Wars (season 6),animation sci fi,Ended,14,2014,3.0,2014,1,13.0,22,22
The Killing (season 4),crime drama,Ended,14,2014,8.0,2014,1,6.0,54,60
Trailer Park Boys (seasons 8–12),mockumentary,Ended,14,2014,9.0,2014,5,50.0,22,32
Longmire (seasons 4–6),crime drama,Ended,14,2015,9.0,2015,3,30.0,55,71
Midnight Diner (season 4),drama,Renewed,14,2016,10.0,2016,1,10.0,23,24
Lovesick (seasons 2–3),comedy,Ended,14,2016,11.0,2016,2,16.0,25,28
The Last Kingdom (seasons 2–3),period drama,Renewed,14,2017,5.0,2017,2,18.0,52,59
Real Rob (season 2),comedy,Ended,14,2017,9.0,2017,1,8.0,30,38
Glitch (seasons 2–3),paranormal drama,Ended,14,2017,11.0,2017,2,12.0,52,57
The Staircase (3 episodes),docu series,Ended,14,2018,6.0,2018,1,3.0,46,53
Little Things (season 2),comedy,Renewed,14,2018,10.0,2018,1,8.0,23,26
Travelers (season 3),science fiction drama,Ended,14,2018,12.0,2018,1,10.0,43,50
Lucifer (season 4),fantasy police procedural,Renewed,14,2019,5.0,2019,1,10.0,48,55
Designated Survivor (season 3),political thriller,Ended,14,2019,6.0,2019,1,10.0,47,53
Money Heist (part 3),thriller,Renewed,14,2019,7.0,2019,1,8.0,41,57
Top Boy (series 3),crime drama,Renewed,14,2019,9.0,2019,1,10.0,44,66
